student_id,first_name,last_name,age,funds,major,GPA,enrollment_date,graduation_date,advisor
1,Neron,Elam,25,10992144.64,History,3.0,10/21/2021,10/8/2025,Neron Elam
2,Freeland,Meenan,18,35874773.26,Computer Science,0.95,2/25/2020,3/21/2023,Freeland Meenan
3,Kerk,Kiddy,21,,Biology,3.15,6/11/2020,2/12/2024,Kerk Kiddy
4,Wilfrid,,22,92588350.39,Computer Science,2.19,9/13/2021,7/29/2023,Wilfrid Dunsmore
5,Lanna,,23,6901767.12,History,0.03,8/9/2020,12/24/2023,Lanna Philpotts
6,Olin,,23,97003203.01,History,2.78,6/8/2021,1/2/2023,Olin Brosio
7,Addy,,20,,History,0.1,3/6/2021,5/20/2023,Addy Pardew
8,Jasun,Quadri,22,,History,3.97,2/25/2020,12/23/2025,Jasun Quadri
9,Keslie,Vaux,21,7174179.83,Biology,2.23,4/17/2021,4/21/2023,Keslie Vaux
10,Marna,MacCarter,21,,Biology,0.36,12/23/2021,9/7/2023,Marna MacCarter
11,Agatha,,23,13089408.93,History,0.91,10/16/2020,8/13/2023,Agatha Troup
12,,Poel,23,37123904.67,Biology,2.0,8/14/2020,7/17/2023,Teddi Poel
13,Karoline,Kilmurray,19,31794444.33,Computer Science,1.27,2/24/2020,6/20/2024,Karoline Kilmurray
14,,Vany,20,20333072.84,Biology,3.05,3/6/2019,7/16/2025,Marty Vany
15,Shannon,Rumke,25,38874140.8,Biology,1.04,5/3/2019,2/21/2025,Shannon Rumke
16,Obidiah,Davenhall,25,,History,0.41,12/1/2021,3/4/2025,
17,Reagan,Tillot,20,431713.07,Computer Science,3.64,10/14/2021,4/26/2024,
18,Gwenni,,22,,Computer Science,3.78,6/3/2020,10/23/2025,Gwenni Thomtson
19,Solomon,Yardley,20,,Computer Science,3.23,6/19/2021,3/21/2025,Solomon Yardley
20,Kelley,Impey,21,74903270.86,History,3.2,12/14/2019,9/17/2024,
21,,Schriren,23,71189815.11,Biology,3.11,10/29/2020,1/26/2023,Kellsie Schriren
22,Hermione,,19,,Biology,3.05,1/27/2021,2/18/2024,Hermione De Carlo
23,Erda,,25,22806295.72,History,3.12,6/21/2019,5/3/2025,Erda Halbard
24,Rainer,,22,45642516.66,Biology,2.12,12/10/2021,11/27/2024,Rainer Aynsley
25,Belinda,Gommowe,19,17786127.5,Computer Science,0.34,8/29/2019,6/1/2025,Belinda Gommowe
26,Hadley,Daniello,22,13026226.45,Biology,1.02,7/24/2020,5/2/2024,Hadley Daniello
27,Rodger,Northen,21,79036252.98,Computer Science,2.88,3/21/2021,4/4/2023,Rodger Northen
28,Kent,Pestridge,18,53260975.19,History,2.13,2/9/2019,3/17/2024,Kent Pestridge
29,Irving,,21,44798249.56,History,0.47,7/12/2020,1/18/2024,Irving Faber
30,Faith,Foat,22,,Computer Science,3.87,1/31/2021,6/26/2025,Faith Foat
31,,,24,62478357.88,History,3.3,8/28/2020,2/18/2023,Noach Donlon
32,Maurine,Culy,21,72594043.91,History,0.95,1/27/2019,6/7/2025,Maurine Culy
33,Melany,McIlmorow,21,40453997.77,History,2.6,6/19/2021,8/17/2023,Melany McIlmorow
34,,Haslehurst,21,90786247.83,Computer Science,1.42,10/14/2020,2/5/2025,Erminia Haslehurst
35,Wanda,,23,77443552.46,History,1.83,9/26/2020,9/27/2025,Wanda Magwood
36,,Bourgaize,20,45174513.45,Computer Science,3.86,6/8/2021,5/8/2023,Franky Bourgaize
37,,,20,59865965.75,Computer Science,2.94,8/2/2021,7/4/2024,Ennis Runnacles
38,Cad,,25,8021941.7,Computer Science,2.12,3/7/2020,1/14/2025,Cad Cobello
39,Daphna,McDonnell,24,42710344.23,Biology,1.12,11/22/2020,12/24/2023,Daphna McDonnell
40,Jarrid,,21,74146749.06,Computer Science,2.42,2/17/2019,2/5/2024,Jarrid Abthorpe
41,Lari,Slesser,20,,Computer Science,3.82,2/4/2019,11/1/2025,Lari Slesser
42,Archy,Hadcroft,23,3947502.02,History,3.59,1/24/2021,12/11/2023,Archy Hadcroft
43,Rodolph,,19,95523220.19,History,0.7,5/27/2020,7/2/2024,Rodolph Clyne
44,Diena,Tingey,22,30622319.0,Biology,3.89,3/12/2019,8/17/2024,Diena Tingey
45,Alejandrina,,23,,History,1.28,6/16/2019,9/22/2024,Alejandrina Goddert.sf
46,Ailey,Colebourn,21,12330236.81,History,2.84,4/8/2019,8/22/2025,Ailey Colebourn
47,Derry,Pridmore,19,,Biology,0.62,1/2/2020,12/30/2025,Derry Pridmore
48,Letty,Simony,18,43591796.31,Biology,0.63,4/16/2021,5/16/2023,Letty Simony
49,,,21,20721008.42,Biology,2.98,5/31/2021,12/22/2023,Johannah Garfield
50,Candide,Meneo,23,70028432.88,Biology,1.89,5/4/2021,10/19/2024,Candide Meneo
51,Adelaida,Popplestone,19,12336490.65,Computer Science,3.23,5/12/2020,8/24/2025,Adelaida Popplestone
52,Dwayne,Rubra,24,81215406.79,History,2.45,7/7/2020,12/11/2025,Dwayne Rubra
53,Glyn,,18,82869974.8,Biology,0.03,8/14/2019,6/16/2024,Glyn Gullifant
54,Robbi,Rielly,18,60544834.13,Computer Science,2.14,7/25/2021,7/1/2024,Robbi Rielly
55,Teodoro,Hinemoor,22,6295198.72,History,1.2,9/22/2020,8/3/2023,Teodoro Hinemoor
56,Crin,Maltby,21,39109346.42,Biology,2.17,6/17/2021,5/7/2024,Crin Maltby
57,,Covely,21,47595770.71,History,3.45,9/4/2021,7/16/2024,Margette Covely
58,Gib,Marklin,22,61056863.93,Biology,2.12,4/2/2019,8/9/2024,Gib Marklin
59,Harv,,22,53150265.38,History,1.89,4/21/2019,4/23/2024,Harv Birkmyre
60,Angelle,,25,71458029.35,Computer Science,1.13,6/30/2019,11/14/2023,
61,Junia,,23,,History,2.22,8/22/2020,12/18/2025,Junia Bandy
62,Elenore,,23,4046915.42,History,2.5,9/27/2021,6/12/2025,Elenore Zorer
63,Celinda,,19,,Computer Science,0.62,6/28/2021,1/30/2023,Celinda Portress
64,Ebonee,,21,3513826.42,Biology,2.71,6/20/2021,7/13/2023,Ebonee Guille
65,Agustin,Cragell,19,,Computer Science,1.45,10/6/2021,3/1/2023,Agustin Cragell
66,Moira,,18,31416629.57,History,2.05,6/19/2020,12/30/2025,Moira Gentzsch
67,Arlinda,Yabsley,22,87098469.99,History,1.21,6/29/2021,12/22/2024,Arlinda Yabsley
68,Biddie,Soanes,25,12155149.98,Biology,0.99,11/6/2019,12/17/2023,Biddie Soanes
69,Daisie,,24,61501770.72,Biology,0.56,7/4/2020,5/8/2025,Daisie Heskins
70,Charisse,Firbanks,19,11525342.45,Computer Science,3.4,5/5/2020,1/10/2023,
71,Riccardo,Dixcee,21,38591038.5,Computer Science,3.6,10/25/2021,11/8/2023,Riccardo Dixcee
72,,Dulling,23,68898566.54,History,0.65,10/30/2021,10/13/2024,Yelena Dulling
73,Shalne,Hutten,22,14935602.53,Biology,1.47,2/16/2021,11/11/2025,Shalne Hutten
74,Jennilee,,23,43727891.44,Computer Science,2.78,12/16/2021,12/11/2023,Jennilee Nystrom
75,Delainey,,19,7734395.3,History,3.69,7/14/2019,12/22/2023,
76,Ilaire,,19,,Biology,0.42,5/29/2020,8/30/2025,Ilaire Goby
77,Tiffani,,24,33062184.97,History,3.92,5/14/2019,12/13/2023,Tiffani Scutching
78,Joeann,,20,18183328.96,Biology,2.02,5/12/2020,12/7/2025,Joeann Gamlen
79,,,24,12202930.74,Computer Science,3.86,11/18/2021,5/14/2025,Carmella Primmer
80,Allard,Lyall,20,53582824.07,Computer Science,0.63,7/7/2021,12/5/2024,Allard Lyall
81,Massimiliano,Kerrane,24,,Computer Science,0.77,9/19/2019,11/4/2025,Massimiliano Kerrane
82,Richy,Driscoll,18,,Computer Science,0.17,11/13/2020,7/13/2024,Richy Driscoll
83,Ulises,Cockland,22,93142480.92,History,1.03,1/9/2020,10/3/2025,
84,Stephine,,25,71040918.56,History,0.12,6/21/2019,11/6/2025,Stephine Marfield
85,Orelle,,24,66906280.42,Computer Science,2.69,9/1/2019,4/19/2023,Orelle Iglesiaz
86,Fredi,Krammer,20,,Biology,2.61,5/4/2019,8/28/2023,Fredi Krammer
87,Brandais,Ruthen,19,8339560.29,Computer Science,2.67,11/4/2021,10/17/2024,Brandais Ruthen
88,Babara,Benjefield,23,21835553.59,Computer Science,0.14,7/7/2021,3/13/2023,Babara Benjefield
89,Danette,,25,20519392.56,History,0.47,9/16/2020,6/26/2023,Danette Tocqueville
90,Vilma,,23,59579107.96,Computer Science,2.74,7/29/2021,12/25/2024,Vilma Sowle
91,Wenonah,Sinnatt,25,9425519.52,History,3.14,1/13/2021,7/30/2025,Wenonah Sinnatt
92,Jerry,,19,,Computer Science,3.75,4/21/2021,11/21/2024,Jerry Winspurr
93,Gregorio,Brandts,22,89940014.05,Biology,0.67,5/10/2019,7/6/2025,Gregorio Brandts
94,Ira,Burnapp,25,63284749.08,Computer Science,3.84,10/16/2019,5/28/2023,Ira Burnapp
95,Priscella,,20,37286217.64,Biology,2.5,8/6/2020,9/13/2023,Priscella Quartermaine
96,Lucinda,Callen,21,32348383.38,Computer Science,3.5,10/8/2021,9/20/2023,Lucinda Callen
97,,,23,73149318.81,Biology,1.82,7/10/2021,2/28/2023,Rebecca Brumpton
