student_id,first_name,last_name,age,major,GPA,enrollment_date,graduation_date,advisor,study_mode,stuDent_loCAtion,duplicate_id,misc_notes,temporary_code,student_notes,is_graduated,name_combined,archived
654,Kevon,Caustick,24,Biology,1.25,2020-01-24,07/27/2024, Kevon Caustick ,Full-time,off campus,654-repeat,Needs follow-up,,,Yes,,False
302,Temple,Diter,22,Biology,2.25,2020-11-20,2023-04-17,Temple Diter,Full-time,on-campus,302-repeat,Advisor not assigned,XYZ302,,0,,False
309,Myrilla,Sirrell,-5,,invalid,garbled_date,2023-04-24,,Hybrid, On-Campus ,309 extra,OK,,,Yes,,False
324,Wain,Wetderill,19,,13.870000000000001,2023-07-11,2020-02-29,Wain Wetherill,Full-time,,324_,Advisor not assigned,,Advisor issue,True,,True
173,Donal,Elington,24 months,History,10.01,2021-05-20,2023-02-26, Donal Elington ,Online,on-campus,173-repeat,N/A,XYZ173,,True,,False
468,Joshia,Patrone,-5,,invalid,garbled_date,04/06/2024, Joshia Patrone ,Part-time,on-campus,468,N/A,XYZ468,,True,,False
613,Fraqda,McCord,18,CompSci,3.77,invalid-date,2025-02-04, Frayda McCord ,Full-time,off campus,613 extra,Advisor not assigned,XYZ613,,True,,False
831,Gayler,Moro,23,History,2.35,01/15/2020,07/12/2023, Gayler Moro ,Full-time,on-campus,831_,OK,,,1,,False
296,Britney,,24 months,Historo,0.51,2019-02-27,01/27/2024,Britney Wilne,Full-time,on-campus,296,N/A,,Advisor issue,No,,False
643,Costa,Caff,20,Computer Science,1.43,12/11/2020,2024-01-29,Costa Caff,Full-time,OFFCAMPUS,643_,Needs follow-up,,,False,,True
793,Ofelia,Nisard,22,,invalid,garbled_date,06/30/2025,Ofelia Nisard,Part-time,off campus,793_,Needs follow-up,,,False,,False
761,Howie,Canas,23,Biology,0.72,02/05/2020,09/17/2025,Howie Canas,Full-time,off campus,761_,N/A,XYZ761,,No,,False
990,Armando,Apnull,25,History,3.63,01/03/2020,2024-01-07,Armando Arnull,Full-time, On-Campus ,990 extra,N/A,,,No,,False
275,Luciano,Jahnisch,23,Computer Science,1.41,05/03/2021,11/14/2025, Luciano Jahnisah ,Full-time,on-campus,275 extra,OK,,,No,,False
133,Gipsy,Grestye,20,Hibtory,0.8,06/06/2020,10/13/2025,Gipsy Grestye,Part-time,off campus,133 extra,Needs follow-up,ABC999,,False,,False
11,Quentin,Bouldstridge,unknown,BIOLOGY,3.12,11/15/2019,04/19/2024,Quentin Bouldstridge,Full-time,on-campus,11 extra,Advisor not assigned,,Advisor issue,True,"Bouldstridge, Quentin",False
760,Joscelin,Swyn,19,History,2.79,2020-05-09,07/29/2025,Joscelin Swyn,Full-time,on-campus,760,Advisor not assigned,,,False,,False
24,R�cky,Mynard,19,,invalid,garbled_date,02/23/2023,Rocky Mynard,Full-time,OFFCAMPUS,24_,Needs follow-up,,,1,,False
194,Cherry,Headey,21,Computer Science,0.28,09/20/2023,2021-03-21,Cherry Headey,Hybrid,on-campus,194-dup,,,,False,,False
728,Brendan,Karle,22,Computer Science,0.61,2019-01-08,08/04/2024, Brendan Kirle ,Hybrid,on-campus,728 extra,Good,,,No,,True
893,Basilius,Clowney,24,Computer Science,1.95,2020-04-20,2024-02-11,Basilius Clowney,Full-time,off campus,893-dup,N/A,,,True,"Clowney, Basilius",False
309,Myrhnn,Sirrell,-5,,invalid,garbled_date,2023-04-24,,Hybrid, On-Campus ,309 extra,OK,,,False,,False
234,Ursulina,Stave,-5,,-3.0,12/17/2020,2024-12-27,Ursulina Stave,Online,off campus,234_,OK,XYZ234,,No,,False
696,Karon,L'Episcopio,20,,2.83,05/27/2019,06/23/2023,Karon L'Episcopio,Hybrid,on-campus,696 extra,Check GPA,,,Yes,"L'Episcopio, Karon",False
264,Bernardine,Crommett,twenty-five,CompSci,0.83,08/13/2019,2024-11-20,Bernardine Crommett,Part-time, On-Campus ,264-dup,Needs follow-up,XYZ264,,No,,False
111,Guinevere,Van der Spohr,21,Computer Science,2.86,2020-07-27,10/16/2025, Guinevere Van der Spohr ,Part-time,oncampus ,111 extra,Needs follow-up,XYZ111,Correct GPA,Yes,,True
381,Massimaliano,D'Onisi,19,Bidlogy,good,05/13/2021,2024-12-16,Massimiliano D'Onisi,Full-time,off campus,381-dup,Advisor not assigned,,,False,,True
751,Demetre,Qualtro,25,Computer Scienhe,1.6,12/11/2021,07/24/2024,,Full-time,OFFCAMPUS,751_,Advisor not assigned,ABC999,Correct GPA,Yes,,False
66,Seyy,O' Dornan,24,History,1.31,2023-03-21,10/13/2021, Seymour O' Dornan ,Full-time,off campus,66-dup,Check GPA,,,0,,False
1,Jaquelyn,Craze,twenty-five,Computer Science,2.53,10/18/2021,04/08/2023,Jaquelyn Craze,Online,off campus,1,Check GPA,,,True,,False
611,Willie,Margiotta,24,Biology,1.26,invalid-date,2023-09-30,,Full-time, On-Campus ,611 extra,Check GPA,,,No,,True
891,Frederico,Ceiklier,22,History,0.03,2019-07-30,2025-11-10, Frederico Ceillier ,Online,off campus,891-repeat,N/A,,Advisor issue,False,,False
963,Koressa,Bly,21,Biology,2.64,2020-03-19,,Koressa Bly,Full-time,off campus,963,Needs follow-up,,,Yes,,False
9,Rochell,Padson,21,histqry,3.89,06/22/2020,12/18/2023, Rochell Padson ,Hybrid,on-campus,9_,N/A,ABC999,,No,,False
178,Margy,Peatheyjohns,20,,invalid,garbled_date,invalid-date,Margy Peatheyjohns,Online,off campus,178,OK,,,No,,False
127,Darry,Kilfedder,102,Biology,2.75,09/10/2020,04/29/2023,Darby Kilfedder,Full-time,off campus,127 extra,Good,ABC999,,No,"Kilfedder, Darry",False
145,Grisw�ld,Popping,21,History,good,04/28/2021,2023-05-04, Griswold Popping ,Hybrid,OFFCAMPUS,145,Check GPA,,,0,,False
412,Denni,Sedger,19,Biology,10.2,02/05/2019,2023-07-18,Denni Sedger,Part-time,on-campus,412-repeat,Needs follow-up,XYZ412,,False,,False
860,Calypso,Breinl,19,computer science,1.5,12/21/2020,2024-11-06,Calypso Breinl,Hybrid,OFFCAMPUS,860-dup,Needs follow-up,XYZ860,,No,"Breinl, Calypso",False
33,Callie,McFee,18,CompSci,0.26,09/08/2019,,Callie McFee,Part-time,oncampus ,33,Needs follow-up,ABC999,,False,,False
285,Floris,Judkins,23,Biology,2.55,2019-11-10,06/29/2023,Floris Judkins,Part-time,off campus,285_,OK,,,No,,False
213,Joachim,Babington,23,History,1.44,06/20/2020,06/05/2023,Joachim Babington,Full-time, On-Campus ,213 extra,OK,ABC999,,0,,False
18,Victor,,24 months,Biologb,1.85,2019-02-11,12/05/2025,Victor Dennerley,Part-time,off campus,18,Check GPA,,,0,", Victor",False
240,Kiel,Halesood,20,,0.3,2019-06-09,06/15/2023, Kiel Halewood ,Part-time,,240 extra,,,,True,,False
76,Reba,Pauluzzi,-5,History,3.71,09/28/2019,2025-01-26,Reba Pauluzzi,Part-time,on-campus,76 extra,N/A,,,False,,False
557,Nate,Issatt,-5,ComputerqScience,0.52,2020-05-21,07/21/2023,Nate Issatt,Part-time,off campus,557 extra,OK,,,False,,False
845,Burton,Skittrell,20,biology,0.67,12/14/2024,2019-07-28,Burton Skittrell,Full-time,off campus,845_,,,,True,,False
776,Nestor,Errichiello,23,,11.46,2021-01-31,2023-11-06, Nestor Errichiello ,Full-time,oncampus ,776,N/A,,,No,,False
946,Elisabet,,-5,Biology,3.65,2019-06-05,10/22/2024,Elisabet Croxford,Hybrid, On-Campus ,946_,Check GPA,,,No,,False
