student_id,first_name,last_name,age,gender,major,GPA,enrollment_date,graduation_date,advisor
1,Jaquelyn,Craze,25,Female,Computer Science,2.53,10/18/2021,4/8/2023,Jaquelyn Craze
2,Sergei,Gowers,22,,,0.65,10/9/2019,1/26/2024,Sergei Gowers
3,Cloris,Jouanny,19,Female,History,0.57,8/1/2020,9/12/2023,Cloris Jouanny
4,Madlzn,Bassindale,20,Female,History,1.03,8/9/2021,9/30/2025,Madlin Bassindale
5,Lexih,Axelby,23,Female,Computer Science,1.53,12/18/2020,9/13/2023,Lexie Axelby
6,,McGinlay,23,Male,History,3.9,10/11/2021,9/27/2024,Gallard McGinlay
7,Liliane,Slatter,25,Female,History,1.69,7/1/2019,4/11/2025,Liliane Slatter
8,Randell,Sweetman,22,Male,Computer Science,1.97,3/20/2021,1/19/2024,Randell Sweetman
9,Rochell,Padson,21,Female,Histqry,3.89,6/22/2020,12/18/2023,Rochell Padson
10,Natal,Patesel,25,Male,Computer Science,3.61,,10/24/2023,Natal Patesel
11,Quentin,Bouldstridge,21,Female,Biology,3.12,11/15/2019,4/19/2024,Quentin Bouldstridge
12,Ellery,Braikenridge,24,Male,Biolmgy,3.7,7/15/2019,7/17/2023,Ellery Braikenridge
13,Janel,Gosneye,20,Female,History,1.5,9/21/2019,4/26/2025,Janel Gosneye
14,Letty,O'Mullaney,24,Female,Biology,2.65,10/16/2023,1/30/2019,Letty O'Mullaney
15,Sybila,McCambridge,14,Female,History,0.51,7/19/2020,2/8/2024,Sybila McCambridge
16,Gasper,Strelitzer,20,Male,Computer Science,2.41,2/19/2019,6/5/2023,Gasptr Strelitzer
17,Rica,O'Cannon,19,Female,Computer Science,2.91,5/25/2019,2/9/2025,Rica O'Cannon
18,Victor,,25,Male,Biologb,1.85,2/11/2019,12/5/2025,Victor Dennerley
19,Minda,Greveson,21,Female,History,3.95,5/28/2019,9/15/2025,Minda Greveson
20,Estella,Beeston,25,Female,Computer Scicnce,0.13,,4/4/2023,Estella Beeston
21,Libbie,Avery,26,Female,Biology,0.76,6/26/2020,8/3/2025,Libbie Avery
22,Janetta,Crossfield,21,Female,Computer Science,1.97,8/13/2020,10/10/2025,Janetta Crossfield
23,Ardkne,Rowland,15,Female,Biology,3.46,1/5/2020,3/3/2023,Ardene Rowland
24,Rocky,Mynard,19,,Computer Science,2.85,7/15/2019,2/23/2023,Rocky Mynard
25,Kenn,Roblwtt,19,Male,Computer Science,0.35,2/4/2019,9/18/2023,Kenn Roblett
26,Carina,Hawker,20,Female,History,1.15,9/30/2019,12/3/2024,Carina Hawker
27,Hilda,Couves,21,Female,Biology,3.7,3/19/2019,6/25/2024,Hilda Couves
28,Gregorius,Wiggett,20,Male,Computer Science,2.97,9/25/2020,6/22/2025,Gregorius Wiggett
29,Delia,Snare,19,Female,History,2.08,4/15/2021,1/8/2023,Deqia Snare
30,Scarface,Scones,25,Male,Hisfory,2.5,3/19/2021,10/31/2025,Scarface Scones
31,Tann,Shrednan,23,Male,History,2.96,2/15/2019,6/10/2024,Tann Shreenan
32,Odell,McIlmorow,22,Male,Biology,2.45,12/27/2020,1/14/2023,Odell McIlmorow
33,Callie,McFee,18,Female,Computer Science,0.26,9/8/2019,,Callie McFee
34,Midge,Osler,18,,Computer Science,1.88,11/24/2020,10/4/2025,Midge Osler
35,Frayda,Klasing,18,Female,Biology,1.34,3/10/2020,11/19/2025,Frayda Klasing
36,Blancha,Mugford,24,Female,Biology,1.8,12/26/2019,9/20/2024,Blancha Mugford
