student_id,first_name,last_name,age,gender,major,GPA,enrollment_date,graduation_date,advisor
1,Jaquelyn,Craze,25,Female,Computer Science,2.53,10/18/2021,4/8/2023,Jaquelyn Craze
2,Sergei,Gowers,22,Male,History,0.65,10/9/2019,1/26/2024,Sergei Gowers
3,Cloris,Jouanny,19,Female,History,0.57,8/1/2020,9/12/2023,Cloris Jouanny
4,Madlin,Bassindale,20,Female,History,1.03,8/9/2021,9/30/2025,Madlin Bassindale
5,Lexie,Axelby,23,Female,Computer Science,1.53,12/18/2020,9/13/2023,Lexie Axelby
6,Gallard,McGinlay,23,Male,History,3.9,10/11/2021,9/27/2024,Gallard McGinlay
7,Liliane,Slatter,25,Female,History,1.69,7/1/2019,4/11/2025,Liliane Slatter
8,Randell,Sweetman,22,Male,Computer Science,1.97,3/20/2021,1/19/2024,Randell Sweetman
9,Rochell,Padson,21,Female,History,3.89,6/22/2020,12/18/2023,Rochell Padson
10,Natal,Patesel,25,Male,Computer Science,3.61,8/5/2020,10/24/2023,Natal Patesel
11,Quentin,Bouldstridge,21,Female,Biology,3.17,11/15/2019,4/19/2024,Quentin Bouldstridge
12,Ellery,Braikenridge,24,Male,Biology,3.7,7/15/2019,7/17/2023,Ellery Braikenridge
13,Janel,Gosneye,20,Female,History,1.5,9/21/2019,4/26/2025,Janel Gosneye
14,Letty,O'Mullaney,24,Female,Biology,2.65,1/30/2019,10/16/2023,Letty O'Mullaney
15,Sybila,McCambridge,19,Female,History,0.51,7/19/2020,2/8/2024,Sybila McCambridge
16,Gasper,Strelitzer,20,Male,Computer Science,2.17,2/19/2019,6/5/2023,Gasper Strelitzer
17,Rica,O'Cannon,19,Female,Computer Science,2.91,5/25/2019,2/9/2025,Rica O'Cannon
18,Victor,Dennerley,25,Male,Biology,1.85,2/11/2019,12/5/2025,Victor Dennerley
19,Minda,Greveson,21,Female,History,3.95,5/28/2019,9/15/2025,Minda Greveson
20,Estella,Beeston,20,Female,Computer Science,0.13,2/8/2019,4/4/2023,Estella Beeston
21,Libbie,Avery,21,Female,Biology,0.76,6/26/2020,8/3/2025,Libbie Avery
22,Janetta,Crossfield,21,Female,Computer Science,1.97,8/13/2020,10/10/2025,Janetta Crossfield
23,Ardene,Rowland,20,Female,Biology,3.46,1/5/2020,3/3/2023,Ardene Rowland
24,Rocky,Mynard,19,Male,Computer Science,2.85,7/15/2019,2/23/2023,Rocky Mynard
25,Kenn,Roblett,19,Male,Computer Science,0.35,2/4/2019,9/18/2023,Kenn Roblett
26,Carina,Hawker,20,Female,History,1.31,9/30/2019,12/3/2024,Carina Hawker
27,Hilda,Couves,21,Female,Biology,3.7,3/19/2019,6/25/2024,Hilda Couves
28,Gregorius,Wiggett,20,Male,Computer Science,2.97,9/25/2020,6/22/2025,Gregorius Wiggett
29,Delia,Snare,19,Female,History,2.08,4/15/2021,1/8/2023,Delia Snare
30,Scarface,Scones,20,Male,History,2.69,3/19/2021,10/31/2025,Scarface Scones
31,Tann,Shreenan,23,Male,History,2.96,2/15/2019,6/10/2024,Tann Shreenan
32,Odell,McIlmorow,22,Male,Biology,2.45,12/27/2020,1/14/2023,Odell McIlmorow
33,Callie,McFee,18,Female,Computer Science,0.26,9/8/2019,7/10/2023,Callie McFee
34,Midge,Osler,18,Female,Computer Science,1.88,11/24/2020,10/4/2025,Midge Osler
35,Frayda,Klasing,18,Female,Biology,1.34,3/10/2020,11/19/2025,Frayda Klasing
36,Blancha,Mugford,24,Female,Biology,1.8,12/26/2019,9/20/2024,Blancha Mugford
37,Caresse,Barca,24,Female,Computer Science,3.88,10/25/2019,5/12/2025,Caresse Barca
38,Kerrie,Van der Kruijs,19,Female,Computer Science,1.76,6/29/2019,3/29/2025,Kerrie Van der Kruijs
39,Carmella,Tarply,19,Female,History,1.76,9/11/2021,5/31/2023,Carmella Tarply
40,Hayward,Lukianovich,21,Male,Computer Science,3.57,11/7/2021,6/29/2023,Hayward Lukianovich
41,Wilton,Lorden,24,Male,History,3.53,4/26/2020,6/26/2023,Wilton Lorden
42,Tallie,Bendel,19,Female,Computer Science,3.82,7/7/2020,5/12/2023,Tallie Bendel
43,Maxi,Santen,20,Non-binary,History,1.36,12/17/2021,6/5/2025,Maxi Santen
44,Kelsey,Bevington,25,Male,Biology,1.98,12/9/2019,9/17/2025,Kelsey Bevington
45,Shelly,Brigge,18,Female,Computer Science,1.43,4/8/2019,2/7/2023,Shelly Brigge
46,Beale,Orteu,25,Male,Biology,1.45,1/31/2019,11/13/2024,Beale Orteu
47,Wittie,Margach,18,Male,Computer Science,3.74,10/22/2020,4/25/2025,Wittie Margach
48,Orelle,Bosward,23,Female,History,3.7,3/3/2020,10/10/2023,Orelle Bosward
49,Vassili,Loxton,22,Male,History,3.47,6/25/2020,12/29/2023,Vassili Loxton
50,Barney,Woodrow,20,Male,History,1.78,11/18/2020,9/27/2024,Barney Woodrow
51,Caressa,Veldens,18,Female,Computer Science,1,10/15/2019,10/17/2025,Caressa Veldens
52,Isidoro,Vasnev,22,Male,History,0.02,3/5/2020,3/10/2023,Isidoro Vasnev
53,Kaia,Bestall,25,Female,Computer Science,0.54,4/30/2021,3/7/2025,Kaia Bestall
54,Natty,Tiltman,21,Female,History,0.37,5/20/2020,6/10/2023,Natty Tiltman
55,Lishe,Conor,25,Female,Biology,0.69,8/29/2021,6/28/2023,Lishe Conor
56,Livy,Sidgwick,18,Female,History,0.42,11/17/2019,2/22/2023,Livy Sidgwick
57,Deane,Tobias,22,Male,History,2.72,12/2/2020,12/12/2024,Deane Tobias
58,Laurie,Tonn,20,Female,Computer Science,0.11,1/27/2019,5/20/2025,Laurie Tonn
59,Rudolph,Rosenblath,24,Male,History,0.53,4/15/2019,8/10/2025,Rudolph Rosenblath
60,Gallagher,Barszczewski,21,Male,Biology,1.67,6/20/2019,11/25/2024,Gallagher Barszczewski
61,Kiele,O'Shevlan,22,Female,Computer Science,3.31,10/20/2019,10/25/2023,Kiele O'Shevlan
62,Stormie,Lob,23,Polygender,History,1.71,1/22/2019,7/12/2023,Stormie Lob
63,Stormy,Le feaver,19,Female,Biology,3.37,9/8/2020,1/28/2025,Stormy Le feaver
64,Gloriane,Eaglen,21,Female,Biology,0.33,4/12/2020,12/18/2023,Gloriane Eaglen
65,Jeno,Rathbone,22,Male,Computer Science,2.05,7/19/2019,2/7/2024,Jeno Rathbone
