student_id,first_name,last_name,age,major,GPA,enrollment_date,graduation_date,advisor,study_mode,stuDent_loCAtion
654,Kevon,Caustick,24,Biology,1.25,2020-01-24,07/27/2024, Kevon Caustick ,Full-time,off campus
302,Temple,Diter,22,Biology,2.25,2020-11-20,2023-04-17,Temple Diter,Full-time,on-campus
309,Myrilla,Sirrell,18,Biology,invalid,garbled_date,2023-04-24,,Hybrid, On-Campus 
324,Wain,Wetherill,19,Biology,13.870000000000001,2023-07-11,2020-02-29,Wain Wetherill,Full-time,
173,Donal,Elington,21,History,10.01,2021-05-20,2023-02-26, Donal Elington ,Online,on-campus
468,Joshia,Patrone,23,Biology,invalid,garbled_date,04/06/2024, Joshia Patrone ,Part-time,on-campus
613,Frayda,McCord,18,History,3.77,invalid-date,2025-02-04, Frayda McCord ,Full-time,off campus
831,Gayler,Moro,23,History,2.35,01/15/2020,07/12/2023, Gayler Moro ,Full-time,on-campus
296,Britney,Wilne,24,History,0.51,2019-02-27,01/27/2024,Britney Wilne,Full-time,on-campus
643,Costa,Caff,20,Computer Science,1.43,12/11/2020,2024-01-29,Costa Caff,Full-time,OFFCAMPUS
793,Ofelia,Nisard,22,History,invalid,garbled_date,06/30/2025,Ofelia Nisard,Part-time,off campus
761,Howie,Canas,23,Biology,0.72,02/05/2020,09/17/2025,Howie Canas,Full-time,off campus
990,Armando,Arnull,25,History,3.63,01/03/2020,2024-01-07,Armando Arnull,Full-time, On-Campus 
275,Luciano,Jahnisch,23,Computer Science,1.41,05/03/2021,11/14/2025, Luciano Jahnisah ,Full-time,on-campus
133,Gipsy,Grestye,20,History,0.8,06/06/2020,10/13/2025,Gipsy Grestye,Part-time,off campus
11,Quentin,Bouldstridge,21,Biology,3.12,11/15/2019,04/19/2024,Quentin Bouldstridge,Full-time,on-campus
760,Joscelin,Swyn,19,History,2.79,2020-05-09,07/29/2025,Joscelin Swyn,Full-time,on-campus
24,Rocky,Mynard,19,Computer Science,invalid,garbled_date,02/23/2023,Rocky Mynard,Full-time,OFFCAMPUS
194,Cherry,Headey,21,Computer Science,0.28,09/20/2023,2021-03-21,Cherry Headey,Hybrid,on-campus
728,Brendan,Karle,22,Computer Science,0.61,2019-01-08,08/04/2024, Brendan Kirle ,Hybrid,on-campus
893,Basilius,Clowney,24,Computer Science,1.95,2020-04-20,2024-02-11,Basilius Clowney,Full-time,off campus
309,Myrilla,Sirrell,18,Biology,invalid,garbled_date,2023-04-24,,Hybrid, On-Campus 
234,Ursulina,Stave,20,History,-3.0,12/17/2020,2024-12-27,Ursulina Stave,Online,off campus
696,Karon,L'Episcopio,20,History,2.83,05/27/2019,06/23/2023,Karon L'Episcopio,Hybrid,on-campus
264,Bernardine,Crommett,21,History,0.83,08/13/2019,2024-11-20,Bernardine Crommett,Part-time, On-Campus 
111,Guinevere,Van der Spohr,21,Computer Science,2.86,2020-07-27,10/16/2025, Guinevere Van der Spohr ,Part-time,oncampus 
381,Massimiliano,D'Onisi,19,Biology,good,05/13/2021,2024-12-16,Massimiliano D'Onisi,Full-time,off campus
751,Demetre,Qualtro,25,Computer Science,1.6,12/11/2021,07/24/2024,,Full-time,OFFCAMPUS
66,Seymour,O' Dornan,24,History,1.31,2023-03-21,10/13/2021, Seymour O' Dornan ,Full-time,off campus
1,Jaquelyn,Craze,25,Computer Science,2.53,10/18/2021,04/08/2023,Jaquelyn Craze,Online,off campus
611,Willie,Margiotta,24,Biology,1.26,invalid-date,2023-09-30,,Full-time, On-Campus 
891,Frederico,Ceillier,22,History,0.03,2019-07-30,2025-11-10, Frederico Ceillier ,Online,off campus
963,Koressa,Bly,21,Biology,2.64,2020-03-19,,Koressa Bly,Full-time,off campus
9,Rochell,Padson,21,History,3.89,06/22/2020,12/18/2023, Rochell Padson ,Hybrid,on-campus
178,Margy,Peatheyjohns,20,History,invalid,garbled_date,invalid-date,Margy Peatheyjohns,Online,off campus
127,Darby,Kilfedder,22,Biology,2.75,09/10/2020,04/29/2023,Darby Kilfedder,Full-time,off campus
145,Griswold,Popping,21,History,good,04/28/2021,2023-05-04, Griswold Popping ,Hybrid,OFFCAMPUS
412,Denni,Sedger,19,Biology,10.2,02/05/2019,2023-07-18,Denni Sedger,Part-time,on-campus
860,Calypso,Breinl,19,Computer Science,1.5,12/21/2020,2024-11-06,Calypso Breinl,Hybrid,OFFCAMPUS
33,Callie,McFee,18,Computer Science,0.26,09/08/2019,,Callie McFee,Part-time,oncampus 
285,Floris,Judkins,23,Biology,2.55,2019-11-10,06/29/2023,Floris Judkins,Part-time,off campus
213,Joachim,Babington,23,History,1.44,06/20/2020,06/05/2023,Joachim Babington,Full-time, On-Campus 
18,Victor,Dennerley,25,Biology,1.85,2019-02-11,12/05/2025,Victor Dennerley,Part-time,off campus
240,Kiel,Halewood,20,Computer Science,0.3,2019-06-09,06/15/2023, Kiel Halewood ,Part-time,
76,Reba,Pauluzzi,25,History,3.71,09/28/2019,2025-01-26,Reba Pauluzzi,Part-time,on-campus
557,Nate,Issatt,21,Computer Science,0.52,2020-05-21,07/21/2023,Nate Issatt,Part-time,off campus
